trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
150,False,"{'a': 0.01, 'e': 0.22313016014842982}",25,0,-41.69012516036561,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
151,False,"{'a': 0.01, 'e': 0.2209099779593782}",25,10,9.048245550083987,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.21871188695221475}",20,7,16.439307671002556,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.21653566731600707}",20,16,10.745387978543796,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.21438110142697794}",20,8,-55.42819449351293,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
155,False,"{'a': 0.01, 'e': 0.21224797382674304}",30,14,-39.04229573177713,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
156,False,"{'a': 0.01, 'e': 0.21013607120076472}",25,1,24.29089514126404,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.20804518235702046}",20,5,10.931305035644836,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.20597509820488344}",20,9,17.622282744963254,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.01, 'e': 0.20392561173421342}",25,12,22.88415128417464,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.01, 'e': 0.20189651799465538}",20,9,10.828852550454858,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.1998876140751445}",25,7,5.679495117219089,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.19789869908361465}",20,11,13.612980667333225,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.01, 'e': 0.19592957412690934}",20,0,-16.116823446201415,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
164,False,"{'a': 0.01, 'e': 0.19398004229089189}",20,6,11.17513191366159,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.01, 'e': 0.19204990862075408}",30,11,37.667870648008645,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.01, 'e': 0.1901389801015205}",25,7,-55.984793512551676,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
167,False,"{'a': 0.01, 'e': 0.1882470656387468}",25,15,17.511107542450784,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.18637397603940997}",20,2,2.9095243453074393,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.18451952399298926}",20,9,17.734302949000703,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.18268352405273466}",25,3,-19.283170447295397,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
171,False,"{'a': 0.01, 'e': 0.1808657926171221}",25,10,22.781136294224765,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.01, 'e': 0.17906614791149322}",25,10,23.742585237984578,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.01, 'e': 0.17728440996987782}",20,3,8.63072505701661,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.01, 'e': 0.17552040061699686}",25,9,17.033411176481675,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.01, 'e': 0.17377394345044514}",20,4,0.7853388889094335,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.17204486382305054}",25,11,25.18651074200518,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.17033298882540943}",30,22,14.46725896169313,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.1686381472685955}",20,0,10.349895300372436,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
179,False,"{'a': 0.01, 'e': 0.1669601696670407}",20,0,10.867676724742369,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
180,False,"{'a': 0.01, 'e': 0.16529888822158653}",25,3,8.693228926282478,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
181,False,"{'a': 0.01, 'e': 0.16365413680270405}",25,0,-31.5248291682053,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",1
182,False,"{'a': 0.01, 'e': 0.16202575093388075}",25,17,17.735491279013644,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.01, 'e': 0.16041356777517274}",20,12,14.49809278487301,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.01, 'e': 0.15881742610692068}",20,0,11.766679880013688,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
185,False,"{'a': 0.01, 'e': 0.1572371663136276}",25,13,6.864338173439949,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.01, 'e': 0.1556726303679973}",25,13,6.800034209291841,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.01, 'e': 0.1541236618151314}",35,3,42.598735655708225,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 0}",1
